Time,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Dominant Frequency,Label
0.0,181.366929250764,90.42091318920549,0.5025732082966005,148.4375,FSK
0.128,149.96027330575285,4.829928297573801,0.000948949647885036,148.4375,FSK
0.256,149.95661563582993,4.909099054013528,0.0011087460191357566,148.4375,FSK
0.384,149.25768019227849,12.19061917148567,0.009009400048517701,148.4375,FSK
0.512,103.173579819796,57.31370638926691,0.11882352985731057,50.78125,FSK
0.64,50.108840101331204,4.052858324366466,0.00023231541211033715,50.78125,FSK
0.768,50.115985536910465,4.082931626804103,0.000265150277952586,50.78125,FSK
0.896,50.12897776219848,4.101752602128127,0.00028719433521379975,50.78125,FSK
1.024,50.12897776219934,4.101752602171331,0.00028719433543431195,50.78125,FSK
1.1520000000000001,50.11598553691004,4.082931626783554,0.00026515027791384414,50.78125,FSK
1.2799999999999998,50.10884010133071,4.052858324335229,0.00023231541206941676,50.78125,FSK
1.408,50.115985536909996,4.08293162678279,0.0002651502779137995,50.78125,FSK
1.536,50.12897776219922,4.101752602164805,0.0002871943354049187,50.78125,FSK
1.6640000000000001,50.12897776219886,4.101752602146468,0.00028719433531082165,50.78125,FSK
1.7919999999999998,50.11598553690944,4.082931626750649,0.00026515027785278523,50.78125,FSK
1.92,50.10884010133065,4.0528583243316305,0.00023231541206485714,50.78125,FSK
2.048,50.11598553691004,4.0829316267815114,0.00026515027791036906,50.78125,FSK
2.1759999999999997,50.12897776219894,4.101752602153443,0.00028719433534382736,50.78125,FSK
2.304,50.12897776219917,4.101752602167167,0.0002871943354173047,50.78125,FSK
2.432,80.01981691082146,52.00409391155916,0.09149401814713334,50.78125,FSK
2.56,126.37619699011996,49.59023184420419,0.09952886002861042,148.4375,FSK
2.6879999999999997,149.96027330575276,4.829928297581234,0.0009489496479171965,148.4375,FSK
2.816,149.9566156358311,4.909099054041235,0.0011087460192110148,148.4375,FSK
2.944,149.95661563583013,4.909099054014217,0.0011087460191413264,148.4375,FSK
3.072,149.96027330575302,4.829928297579826,0.0009489496479104267,148.4375,FSK
3.1999999999999997,149.9547953102479,4.944110606489142,0.0011629737184074888,148.4375,FSK
3.328,149.9602733057531,4.829928297580432,0.0009489496479268319,148.4375,FSK
3.456,120.33039333385943,53.08386139534567,0.11094055310002651,148.4375,FSK
3.584,69.7519912605602,45.12820276253183,0.0680612643843158,50.78125,FSK
3.7119999999999997,50.115985536909804,4.082931626764337,0.0002651502778799532,50.78125,FSK
3.84,50.108840101329925,4.052858324302424,0.00023231541202540338,50.78125,FSK
3.968,50.115985536910074,4.082931626788785,0.000265150277923672,50.78125,FSK
4.096,50.12897776219965,4.101752602187381,0.0002871943355346581,50.78125,FSK
4.224,50.12897776219899,4.10175260215543,0.0002871943353760644,50.78125,FSK
4.352,50.11598553690964,4.082931626758039,0.00026515027786666763,50.78125,FSK
4.4799999999999995,100.63568737485049,57.331677522103575,0.11859086313100398,50.78125,FSK
4.608,147.4883543961389,19.96565512266224,0.02149249741975152,148.4375,FSK
4.736,149.95661563583087,4.909099054066627,0.0011087460192589027,148.4375,FSK
4.864,149.95661563582988,4.909099054017072,0.0011087460191418434,148.4375,FSK
4.992,180.47475953380328,89.32785332649416,0.48988333349396246,148.4375,FSK
5.12,239.97382054164896,125.95894016540451,0.9361983941618635,183.59375,FSK
0.0,148.02994848726357,101.96505151293091,0.502579606624475,101.5625,FSK
0.128,100.07024054789419,4.783154676029929,0.0006991699789347203,101.5625,FSK
0.256,100.06247876628942,4.834386835759448,0.0007658820993766502,101.5625,FSK
0.384,101.19422328147115,14.14770394478954,0.012272910959076832,101.5625,FSK
0.512,157.6107384610375,57.98281301201085,0.15921073806401506,199.21875,FSK
0.64,199.90366787381518,4.304362785677093,0.0009146111750510921,199.21875,FSK
0.768,199.90414122388236,4.274726644750595,0.0008637967798177995,199.21875,FSK
0.896,199.90510466220564,4.209236857284944,0.0007221217198771199,199.21875,FSK
1.024,199.90510466220556,4.209236857281148,0.0007221217198588389,199.21875,FSK
1.1520000000000001,199.90414122388188,4.274726644752877,0.000863796779816221,199.21875,FSK
1.2799999999999998,199.90366787381527,4.304362785695664,0.0009146111750808423,199.21875,FSK
1.408,189.82289227589388,36.3689378555283,0.07214073650124413,199.21875,FSK
1.536,142.80246435248938,57.64631703501528,0.15376517491386957,101.5625,FSK
1.6640000000000001,100.06247876629,4.8343868357758835,0.0007658820994185597,101.5625,FSK
1.7919999999999998,100.07024054789436,4.783154676043389,0.0006991699790039422,101.5625,FSK
1.92,100.05849578651208,4.853048573181943,0.0007778872763460994,101.5625,FSK
2.048,100.0702405478937,4.783154676018391,0.0006991699788576717,101.5625,FSK
2.1759999999999997,100.06247876628947,4.834386835764015,0.0007658820993870378,101.5625,FSK
2.304,100.06247876628883,4.834386835741394,0.0007658820993331548,101.5625,FSK
2.432,100.070240547894,4.783154676025791,0.0006991699789147132,101.5625,FSK
2.56,100.05849578651089,4.853048573142839,0.000777887276268057,101.5625,FSK
2.6879999999999997,100.07024054789407,4.783154676025291,0.0006991699789123323,101.5625,FSK
2.816,100.06247876628863,4.834386835737277,0.0007658820993213421,101.5625,FSK
2.944,100.06247876628984,4.834386835783567,0.0007658820994299755,101.5625,FSK
3.072,100.07024054789362,4.783154676011594,0.0006991699788261906,101.5625,FSK
3.1999999999999997,100.0584957865118,4.853048573178941,0.0007778872763374415,101.5625,FSK
3.328,100.07024054789366,4.783154676021806,0.000699169978887295,101.5625,FSK
3.456,100.0624787662897,4.834386835772317,0.0007658820994064827,101.5625,FSK
3.584,100.06247876628862,4.834386835737516,0.0007658820993232961,101.5625,FSK
3.7119999999999997,100.0702405478935,4.783154675993058,0.000699169978730065,101.5625,FSK
3.84,100.05849578651191,4.853048573174895,0.0007778872763326072,101.5625,FSK
3.968,100.07024054789426,4.783154676022687,0.0006991699788810095,101.5625,FSK
4.096,100.0624787662877,4.834386835734076,0.000765882099299973,101.5625,FSK
4.224,100.06247876628932,4.834386835751785,0.0007658820993594206,101.5625,FSK
4.352,100.07024054789376,4.7831546760376265,0.0006991699789380694,101.5625,FSK
4.4799999999999995,100.05849578651062,4.853048573176031,0.0007778872763169269,101.5625,FSK
4.608,100.07024054789406,4.783154676061657,0.0006991699790972092,101.5625,FSK
4.736,100.06247876628926,4.834386835756197,0.0007658820993694481,101.5625,FSK
4.864,100.06247876628892,4.834386835763874,0.000765882099379576,101.5625,FSK
4.992,146.6670484661657,100.85981682328696,0.4898940706791199,101.5625,FSK
5.12,223.22613624833184,130.6724255937182,0.9373952421386637,136.71875,FSK
0.0,249.99999999999994,79.90759544293383,0.5025201801159122,250.0,FSK
0.128,250.00000000000003,2.7621358643282994,2.1452741298021753e-08,250.0,FSK
0.256,250.0,2.762135864420625,2.145284832691747e-08,250.0,FSK
0.384,249.99999999999997,2.7621358646904146,2.1452976558407763e-08,250.0,FSK
0.512,250.0,2.7621358646950154,2.14530123936795e-08,250.0,FSK
0.64,250.00000000000003,2.762135865201594,2.1453158653111783e-08,250.0,FSK
0.768,250.00000000000006,2.762135865498803,2.145321952869218e-08,250.0,FSK
0.896,250.0,2.7621358655000865,2.1453225084111324e-08,250.0,FSK
1.024,249.99999999999974,2.762135865949591,2.1453729418856467e-08,250.0,FSK
1.1520000000000001,250.00000000000017,2.762135865339699,2.1453089148140562e-08,250.0,FSK
1.2799999999999998,249.99999999999972,2.7621358666032148,2.1453930347930085e-08,250.0,FSK
1.408,238.68296255298426,37.9935167638035,0.08413158804494685,250.0,FSK
1.536,190.8947433145172,57.75099429768481,0.17863819764717856,148.4375,FSK
1.6640000000000001,149.95661563583107,4.909099054044291,0.001108746019217593,148.4375,FSK
1.7919999999999998,149.96027330575293,4.829928297577616,0.0009489496479089459,148.4375,FSK
1.92,149.954795310249,4.944110606511118,0.0011629737184631803,148.4375,FSK
2.048,149.96027330575325,4.82992829758088,0.0009489496479386816,148.4375,FSK
2.1759999999999997,149.956615635831,4.909099054045953,0.0011087460192192398,148.4375,FSK
2.304,149.9566156358312,4.909099054041703,0.0011087460192130848,148.4375,FSK
2.432,177.00044005751838,51.9600973981175,0.14329882926502127,148.4375,FSK
2.56,221.95988334086945,53.09421205382267,0.15672003659965547,250.0,FSK
2.6879999999999997,249.99999999999974,2.7621358706387653,2.1455448146784903e-08,250.0,FSK
2.816,250.00000000000014,2.762135870601516,2.1455115692437552e-08,250.0,FSK
2.944,249.99999999999972,2.7621358703134478,2.1455566811497084e-08,250.0,FSK
3.072,250.0000000000002,2.7621358703098475,2.1455098327819824e-08,250.0,FSK
3.1999999999999997,249.99999999999974,2.7621358714871342,2.1455510390618564e-08,250.0,FSK
3.328,250.0000000000002,2.762135870847284,2.145506303928133e-08,250.0,FSK
3.456,215.61278339032205,56.092404946088706,0.1736524212681943,250.0,FSK
3.584,167.63471375465062,44.70961457106044,0.10720430379870731,148.4375,FSK
3.7119999999999997,149.96027330575265,4.829928297578102,0.0009489496478933334,148.4375,FSK
3.84,149.95479531024864,4.944110606508152,0.0011629737184525952,148.4375,FSK
3.968,149.96027330575365,4.829928297586738,0.0009489496479916605,148.4375,FSK
4.096,149.95661563582885,4.909099053999573,0.001108746019091361,148.4375,FSK
4.224,149.95661563582968,4.909099053980015,0.0011087460190632964,148.4375,FSK
4.352,149.96027330575407,4.829928297643316,0.0009489496482562671,148.4375,FSK
4.4799999999999995,149.95479531024804,4.944110606482673,0.001162973718398542,148.4375,FSK
4.608,149.960273305753,4.829928297590972,0.0009489496479481053,148.4375,FSK
4.736,149.95661563583087,4.909099054066627,0.0011087460192589027,148.4375,FSK
4.864,149.95661563582988,4.909099054017072,0.0011087460191418434,148.4375,FSK
4.992,180.47475953380328,89.32785332649416,0.48988333349396246,148.4375,FSK
5.12,239.97382054164896,125.95894016540451,0.9361983941618635,183.59375,FSK
